order_id,day,hour,item_name,category,price,tip_percent
1,wtorek,13,Quesadilla,danie_główne,20,7
1,wtorek,13,Heineken 0.33L,piwo,10,7
2,wtorek,13,Risotto,danie_główne,32,7
2,wtorek,13,Craft IPA 0.33L,piwo,14,7
2,wtorek,13,Cola 0.33L,zimny_napój,7,7
2,wtorek,13,Sok pomarańczowy,zimny_napój,8,7
3,wtorek,13,Sałatka Caesar,danie_główne,22,8
3,wtorek,13,Żywiec 0.5L,piwo,8,8
4,wtorek,13,Ryba z grilla,danie_główne,35,10
4,wtorek,13,Heineken 0.33L,piwo,10,10
5,wtorek,13,Spaghetti Carbonara,danie_główne,26,8
5,wtorek,13,Cola 0.33L,zimny_napój,7,8
5,wtorek,13,Żywiec 0.5L,piwo,8,8
6,wtorek,13,Zupa dnia,danie_główne,16,7
6,wtorek,13,Woda mineralna,zimny_napój,5,7
7,wtorek,13,Pizza Margherita,danie_główne,28,11
7,wtorek,13,Heineken 0.33L,piwo,10,11
8,wtorek,13,Ryba z grilla,danie_główne,35,7
8,wtorek,13,Heineken 0.33L,piwo,10,7
8,wtorek,13,Żywiec 0.5L,piwo,8,7
9,wtorek,13,Quesadilla,danie_główne,20,8
9,wtorek,13,Żywiec 0.5L,piwo,8,8
10,wtorek,13,Quesadilla,danie_główne,20,7
10,wtorek,13,Sok pomarańczowy,zimny_napój,8,7
11,wtorek,14,Pizza Margherita,danie_główne,28,4
11,wtorek,14,Cola 0.33L,zimny_napój,7,4
12,wtorek,14,Kotlet schabowy,danie_główne,30,9
12,wtorek,14,Żywiec 0.5L,piwo,8,9
13,wtorek,14,Spaghetti Carbonara,danie_główne,26,3
13,wtorek,14,Heineken 0.33L,piwo,10,3
14,wtorek,14,Wrap z kurczakiem,danie_główne,18,9
15,wtorek,14,Wrap z kurczakiem,danie_główne,18,10
15,wtorek,14,Woda mineralna,zimny_napój,5,10
16,wtorek,14,Pizza Margherita,danie_główne,28,11
16,wtorek,14,Craft IPA 0.33L,piwo,14,11
17,wtorek,14,Kotlet schabowy,danie_główne,30,6
18,wtorek,14,Zupa dnia,danie_główne,16,5
18,wtorek,14,Kawa espresso,gorący_napój,6,5
18,wtorek,14,Sok pomarańczowy,zimny_napój,8,5
19,wtorek,14,Sałatka Caesar,danie_główne,22,9
19,wtorek,14,Żywiec 0.5L,piwo,8,9
20,wtorek,14,Burger Classic,danie_główne,24,4
20,wtorek,14,Kotlet schabowy,danie_główne,30,4
21,wtorek,14,Wrap z kurczakiem,danie_główne,18,9
21,wtorek,14,Heineken 0.33L,piwo,10,9
22,wtorek,14,Sałatka Caesar,danie_główne,22,2
22,wtorek,14,Kotlet schabowy,danie_główne,30,2
23,wtorek,14,Kotlet schabowy,danie_główne,30,8
23,wtorek,14,Heineken 0.33L,piwo,10,8
24,wtorek,14,Pizza Margherita,danie_główne,28,9
24,wtorek,14,Sok pomarańczowy,zimny_napój,8,9
24,wtorek,14,Cola 0.33L,zimny_napój,7,9
25,wtorek,14,Pizza Margherita,danie_główne,28,14
25,wtorek,14,Woda mineralna,zimny_napój,5,14
25,wtorek,14,Heineken 0.33L,piwo,10,14
26,wtorek,14,Spaghetti Carbonara,danie_główne,26,6
26,wtorek,14,Woda mineralna,zimny_napój,5,6
26,wtorek,14,Cola 0.33L,zimny_napój,7,6
27,wtorek,14,Sałatka Caesar,danie_główne,22,4
28,wtorek,14,Risotto,danie_główne,32,9
28,wtorek,14,Herbata,gorący_napój,5,9
29,wtorek,14,Ryba z grilla,danie_główne,35,4
29,wtorek,14,Żywiec 0.5L,piwo,8,4
29,wtorek,14,Cola 0.33L,zimny_napój,7,4
30,wtorek,14,Quesadilla,danie_główne,20,7
31,wtorek,14,Risotto,danie_główne,32,7
31,wtorek,14,Craft IPA 0.33L,piwo,14,7
32,wtorek,14,Pizza Margherita,danie_główne,28,8
32,wtorek,14,Żywiec 0.5L,piwo,8,8
33,wtorek,15,Kotlet schabowy,danie_główne,30,4
33,wtorek,15,Sok pomarańczowy,zimny_napój,8,4
34,wtorek,15,Zupa dnia,danie_główne,16,7
34,wtorek,15,Pizza Margherita,danie_główne,28,7
34,wtorek,15,Kawa espresso,gorący_napój,6,7
35,wtorek,15,Wrap z kurczakiem,danie_główne,18,6
35,wtorek,15,Żywiec 0.5L,piwo,8,6
36,wtorek,15,Ryba z grilla,danie_główne,35,16
36,wtorek,15,Heineken 0.33L,piwo,10,16
37,wtorek,15,Quesadilla,danie_główne,20,12
37,wtorek,15,Heineken 0.33L,piwo,10,12
37,wtorek,15,Pizza Margherita,danie_główne,28,12
38,wtorek,15,Burger Classic,danie_główne,24,6
38,wtorek,15,Sok pomarańczowy,zimny_napój,8,6
38,wtorek,15,Herbata,gorący_napój,5,6
39,wtorek,15,Ryba z grilla,danie_główne,35,4
39,wtorek,15,Craft IPA 0.33L,piwo,14,4
40,wtorek,15,Zupa dnia,danie_główne,16,14
41,wtorek,15,Kotlet schabowy,danie_główne,30,9
42,wtorek,15,Pizza Margherita,danie_główne,28,9
42,wtorek,15,Woda mineralna,zimny_napój,5,9
43,wtorek,15,Pizza Margherita,danie_główne,28,7
43,wtorek,15,Żywiec 0.5L,piwo,8,7
44,wtorek,15,Kotlet schabowy,danie_główne,30,11
45,wtorek,15,Kotlet schabowy,danie_główne,30,6
